order_id,order_date,status,customer_id,customer_name,customer_phone,customer_email,city,district,delivery_type,delivery_cost,payment_method,payment_status,payment_amount,currency,total_amount,items_json
طلب-100000,2025-02-24T21:29:00,مؤكد,عميل-0,محمد علي,702390941,user141764@example.com,تعز,شعوب,سريع,5000.0,محفظة إلكترونية,تم الدفع,769000.0,YER,769000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":-2,""unit_price"":183000.0,""total"":549000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":215000.0,""total"":215000.0}]"
طلب-100001,2025-01-12T00:13:00,قيد الانتظار,عميل-1,علي حسين,714876334,user392083@example.com,لحج,القاهرة,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,546500.0,YER,546500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":181500.0,""total"":544500.0}]"
طلب-100002,2025-02-26T20:26:00,مؤكد,عميل-2,أروى محمد,717011292,user697610@example.com,حجة,جبلة,عادي,2000.0,محفظة إلكترونية,تم الدفع,32000.0,YER,32000.0,"[{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":3,""unit_price"":10000.0,""total"":30000.0}]"
طلب-100003,2025-02-22T03:22:00,مرتجع,عميل-3,ريم عادل,739988747,user309803@example.com,عدن,القاهرة,عادي,2000.0,محفظة إلكترونية,تم الدفع,706000.0,YER,٧٠٦٠٠٠٫٠,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":257000.0,""total"":514000.0},{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":1,""unit_price"":11000.0,""total"":11000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":1,""unit_price"":179000.0,""total"":179000.0}]"
طلب-100004,2025-03-09T19:18:00,قيد الشحن,عميل-4,محمد علي,704925363,user178511@example.com,المكلا,جبلة,سريع,5000.0,بطاقة,تم الدفع,374000.0,YER,374000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":184500.0,""total"":369000.0}]"
طلب-100005,2025-04-02T03:26:00,مرتجع,عميل-5,محمد علي,777712498,user479241@example.com,حجة,جبلة,عادي,2000.0,محفظة إلكترونية,بانتظار الدفع,263500.0,YER,263500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":229000.0,""total"":229000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":8500.0,""total"":25500.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":1,""unit_price"":7000.0,""total"":7000.0}]"
طلب-100006,2025-01-31T13:54:00,قيد الشحن,,سارة ياسر,714335702,@@,إب,التحرير,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,27000.0,YER,???,not-json
طلب-100007,2025-03-03T04:30:00,قيد الشحن,عميل-7,سارة ياسر,736219041,user584264@example.com,حجة,كريتر,عادي,2000.0,نقدًا عند التسليم,بانتظار الدفع,26000.0,YER,26000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":2,""unit_price"":12000.0,""total"":24000.0}]"
طلب-100008,2025-04-24T22:52:00,تم التسليم,عميل-8,ريم عادل,719480111,user244958@example.com,لحج,التحرير,سريع,5000.0,محفظة إلكترونية,تم الدفع,23000.0,YER,23000.0,"[{""sku"":""SKU-1002"",""name"":""فأرة لاسلكية"",""qty"":2,""unit_price"":9000.0,""total"":18000.0}]"
طلب-100009,2025-04-28T10:27:00,مؤكد,عميل-9,خالد سالم,734480824,user295679@example.com,لحج,جبلة,سريع,5000.0,بطاقة,تم الدفع,82000.0,YER,82000.0,"[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":29500.0,""total"":59000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":6000.0,""total"":18000.0}]"
طلب-100010,2025-03-14T19:04:00,قيد الانتظار,عميل-10,يوسف طارق,704391676,user902338@example.com,ذمار,القاهرة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,135000.0,YER,"135,000.00","[{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":2,""unit_price"":18500.0,""total"":37000.0},{""sku"":""SKU-1005"",""name"":""سماعات رأس"",""qty"":3,""unit_price"":31000.0,""total"":93000.0}]"
طلب-100011,2025-02-10T03:59:00,مؤكد,عميل-11,خالد سالم,736441494,user254918@example.com,عمران,شعوب,سريع,5000.0,بطاقة,بانتظار الدفع,475000.0,YER,475000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":2,""unit_price"":235000.0,""total"":470000.0}]"
طلب-100012,2025-03-23T06:55:00,قيد الشحن,عميل-12,خالد سالم,708809838,user819896@@example.com,المكلا,القاهرة,عادي,2000.0,بطاقة,تم الدفع,51000.0,YER,51000.0,"[{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":3,""unit_price"":8000.0,""total"":24000.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":2,""unit_price"":7000.0,""total"":14000.0},{""sku"":""SKU-1009"",""name"":""شاحن سريع"",""qty"":1,""unit_price"":11000.0,""total"":11000.0}]"
طلب-100013,2025-02-08T13:31:00,مؤكد,عميل-13,سارة ياسر,739167281,user926709@example.com,المكلا,جبلة,سريع,5000.0,نقدًا عند التسليم,بانتظار الدفع,666500.0,YER,666500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":220500.0,""total"":661500.0}]"
طلب-100014,2025-02-28T07:11:00,مؤكد,عميل-14,يوسف طارق,717337539,user583594@example.com,صنعاء,جبلة,سريع,5000.0,بطاقة,بانتظار الدفع,1412000.0,YER,1412000.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":257000.0,""total"":771000.0},{""sku"":""SKU-1007"",""name"":""قرص SSD محمول"",""qty"":2,""unit_price"":45000.0,""total"":90000.0},{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":3,""unit_price"":182000.0,""total"":546000.0}]"
طلب-100015,2025-02-28T08:35:00,تم التسليم,عميل-15,أحمد محمد,737509055,user431280@example.com,تعز,خور مكسر,سريع,5000.0,بطاقة,بانتظار الدفع,244500.0,YER,244500.0,"[{""sku"":""SKU-1010"",""name"":""هاتف سامسونج A54"",""qty"":1,""unit_price"":234500.0,""total"":234500.0},{""sku"":""SKU-1008"",""name"":""محول HDMI"",""qty"":1,""unit_price"":5000.0,""total"":5000.0}]"
